Êý¾Ý×éÊý,ÎÀÐÇPRNºÅ,ÀúÔª,ÎÀÐÇÖÓÆ«²î(s),ÎÀÐÇÖÓÆ¯ÒÆ(s/s),ÎÀÐÇÖÓÆ¯ÒÆËÙ¶È(s/s*s),IODE,C_rs,n,M0,C_uc,e,C_us,sqrt_A,TEO,C_ic,OMEGA,C_is,I_0,C_rc,w,OMEGA_DOT,IDOT,L2_code,PS_week_num,L2_P_code,ÎÀÐÇ¾«¶È(m),ÎÀÐÇ½¡¿µ×´Ì¬,TGD,IODC
29,31,22  9 23  0  0  0.0,0.00019430462271,1.36424205266e-12,0.0,61.0,49.65625,4.8984183245e-09,1.35847259827,2.82004475594e-06,0.0105447320966,8.59797000885e-06,5153.5865612,432000.0,-2.04890966415e-08,-2.64305876783,1.84401869774e-07,0.955088627709,211.53125,0.429153661664,-8.26605860023e-09,3.7108688583e-10,1.0,2228.0,0.0,2.0,0.0,-1.35041773319e-08,61.0
30,17,22  9 23  1 59 28.0,0.000661849044263,3.75166564481e-12,0.0,105.0,20.90625,4.07445543171e-09,-0.455669240567,1.08778476715e-06,0.0137212612899,1.1183321476e-05,5153.62520218,439168.0,-1.49011611938e-07,-0.509256188747,2.79396772385e-08,0.977569702376,177.8125,-1.47983733543,-7.9617602107e-09,3.52157525917e-10,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,105.0
31,13,22  9 23  1 59 44.0,0.000392681919038,7.16227077646e-12,0.0,4.0,-71.5625,4.08909889881e-09,-0.942884511587,3.55392694473e-06,0.00648037448991,1.16266310215e-05,5153.68209457,439184.0,8.00937414169e-08,2.70618818874,1.34110450745e-07,0.969409646271,159.1875,0.936905887239,-7.80961101593e-09,8.32177520677e-11,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,4.0
32,17,22  9 23  1 59 44.0,0.000661849044263,3.75166564481e-12,0.0,0.0,20.90625,4.07445543171e-09,-0.453335504409,1.08778476715e-06,0.0137212622212,1.1183321476e-05,5153.62520409,439184.0,-1.49011611938e-07,-0.509256304318,2.79396772385e-08,0.977569692136,177.8125,-1.47983729154,-7.9617602107e-09,3.52157525917e-10,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,0.0
33,20,22  9 23  1 59 44.0,0.000484206248075,3.06954461848e-12,0.0,59.0,-26.59375,5.1041411794e-09,-1.61480722535,1.27032399178e-06,0.0047636522213,1.58324837685e-06,5153.65415955,439184.0,-6.70552253723e-08,1.3614186622,-6.14672899246e-08,0.944500212442,340.25,-3.09090369492,-8.63071664685e-09,3.57157734196e-11,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,59.0
34,29,22  9 23  1 59 44.0,0.000553844496608,3.18323145621e-12,0.0,12.0,11.1875,3.85730352932e-09,-0.56150026298,5.3271651268e-07,0.00221784098539,1.1695548892e-05,5153.64922714,439184.0,-3.91155481338e-08,-0.495753394896,-2.79396772385e-08,0.979709626758,163.15625,2.45950306879,-7.65853329437e-09,3.94659296287e-10,1.0,2228.0,0.0,2.0,0.0,-1.02445483208e-08,12.0
35,1,22  9 23  2  0  0.0,0.000279309228063,6.48014975013e-12,0.0,59.0,93.90625,3.7683712535e-09,-2.71399866155,4.9639493227e-06,0.0119926056359,6.2957406044e-06,5153.6590023,439200.0,9.685754776e-08,0.489894257308,-6.70552253723e-08,0.988774155372,272.0,0.943715852822,-7.6296035179e-09,3.22870591713e-10,1.0,2228.0,0.0,2.0,0.0,5.12227416039e-09,59.0
36,2,22  9 23  2  0  0.0,0.000645085703582,1.36424205266e-12,0.0,73.0,108.78125,4.11945730622e-09,3.10460002991,5.6941062212e-06,0.0200054134475,7.57724046707e-06,5154.89691162,439200.0,2.58907675743e-07,0.39616006792,5.02914190292e-08,0.96675018994,233.8125,-1.39324917463,-7.64496130047e-09,2.56082095419e-10,1.0,2228.0,0.0,2.0,0.0,-1.72294676304e-08,73.0
37,3,22  9 23  2  0  0.0,0.000355213880539,5.57065504836e-12,0.0,73.0,-49.4375,4.30017911972e-09,2.4666901966,2.63378024101e-06,0.00451729574706,2.57603824139e-06,5153.54797173,439200.0,2.60770320892e-08,1.52284222618,-6.33299350738e-08,0.97506095294,335.5,1.05972340738,-8.17284043161e-09,1.06075847056e-10,1.0,2228.0,0.0,2.82842707634,0.0,1.86264514923e-09,73.0
38,4,22  9 23  2  0  0.0,0.000114667695016,5.68434188608e-12,0.0,67.0,-67.90625,4.20553232016e-09,-0.803471887212,3.63402068615e-06,0.00201880105305,1.07362866402e-05,5153.75649834,439200.0,5.58793544769e-08,2.60457777715,-5.02914190292e-08,0.962076526555,170.3125,-3.09778661477,-7.84568394708e-09,6.07168148133e-12,1.0,2228.0,0.0,2.0,0.0,-4.65661287308e-09,579.0
39,5,22  9 23  2  0  0.0,9.76850278676e-05,1.47792889038e-12,0.0,63.0,-42.40625,4.69626704694e-09,-0.193792828181,2.06008553505e-06,0.00610985502135,2.25007534027e-06,5153.78514481,439200.0,-3.35276126862e-08,1.47952509897,1.49011611938e-07,0.962086821109,336.0625,1.11383862698,-8.53035532354e-09,5.107355599e-11,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,63.0
40,6,22  9 23  2  0  0.0,0.000469593796879,1.20508047985e-11,0.0,62.0,97.8125,3.89409077594e-09,-2.50349186266,4.99188899994e-06,0.00244477344677,6.52112066746e-06,5153.52526474,439200.0,5.96046447754e-08,0.481624295094,2.23517417908e-08,0.988080015373,270.90625,-0.893810253139,-7.86997067301e-09,2.56439253153e-10,1.0,2228.0,0.0,2.82842707634,0.0,3.72529029846e-09,62.0
41,7,22  9 23  2  0  0.0,0.00030531687662,3.29691829393e-12,0.0,53.0,46.6875,4.79055668877e-09,2.93906854368,2.27242708206e-06,0.0163950022543,8.54581594467e-06,5153.63479614,439200.0,1.49011611938e-08,-2.66209625623,-2.01165676117e-07,0.950943010456,210.875,-2.24176522529,-7.84282668521e-09,5.70738059245e-10,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,53.0
42,8,22  9 23  2  0  0.0,8.57654958963e-05,1.5916157281e-12,0.0,92.0,-3.0625,4.32303721471e-09,-0.467884034528,2.45869159698e-07,0.00753678183537,1.0410323739e-05,5153.59702492,439200.0,1.62050127983e-07,-0.594457434452,4.47034835815e-08,0.962150439028,181.78125,0.164576724447,-7.94640242813e-09,4.81448625696e-10,1.0,2228.0,0.0,2.0,0.0,5.12227416039e-09,92.0
43,9,22  9 23  2  0  0.0,0.000292640645057,4.88853402203e-12,0.0,109.0,-78.5625,4.35125267571e-09,-0.037229307733,4.31761145592e-06,0.0025088256225,1.06021761894e-05,5153.76131249,439200.0,-5.77419996262e-08,2.54987513743,-5.40167093277e-08,0.955157102516,170.9375,1.90358183994,-7.95747431789e-09,4.000166623e-11,1.0,2228.0,0.0,2.0,0.0,1.39698386192e-09,109.0
44,10,22  9 23  2  0  0.0,4.46569174528e-06,1.70530256582e-12,0.0,39.0,-38.5,4.43518474325e-09,1.57823326396,2.02096998692e-06,0.00792034645565,2.39349901676e-06,5153.68158531,439200.0,-9.685754776e-08,1.52013520161,4.09781932831e-08,0.974843406781,342.3125,-2.51112914498,-8.31391773662e-09,1.70364239211e-10,1.0,2228.0,0.0,2.0,0.0,2.32830643654e-09,39.0
45,11,22  9 23  2  0  0.0,1.87018886208e-05,3.29691829393e-12,0.0,181.0,98.90625,4.45161399902e-09,-0.790651939633,5.09433448315e-06,0.00073502107989,6.14672899246e-06,5153.63942719,439200.0,7.82310962677e-08,0.528532287857,-9.685754776e-08,0.964002379208,267.625,-3.12040338679,-8.15248244076e-09,2.49653256203e-10,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,949.0
46,12,22  9 23  2  0  0.0,0.000282636843622,6.02540239925e-12,0.0,49.0,-16.21875,4.76234122777e-09,2.23367609437,1.05239450932e-06,0.00850051781163,5.02914190292e-06,5153.72879791,439200.0,5.02914190292e-08,-1.54794341931,-1.50874257088e-07,0.967506489329,282.875,1.31717177301,-8.0453351205e-09,3.2001332984e-10,1.0,2228.0,0.0,2.0,0.0,-1.25728547573e-08,49.0
47,13,22  9 23  2  0  0.0,0.000392681919038,7.16227077646e-12,0.0,95.0,-71.5625,4.08909889881e-09,-0.940551250878,3.55392694473e-06,0.00648037483916,1.16266310215e-05,5153.68209457,439200.0,8.00937414169e-08,2.70618806001,1.34110450745e-07,0.969409637494,159.1875,0.936906397798,-7.80961101593e-09,8.32177520677e-11,1.0,2228.0,0.0,2.0,0.0,-1.11758708954e-08,95.0
48,14,22  9 23  2  0  0.0,0.000101495534182,2.95585778076e-12,0.0,100.0,-13.8125,5.2691480526e-09,2.17554394896,6.70552253723e-07,0.0023091675248,4.94718551636e-06,5153.65102768,439200.0,-5.21540641785e-08,-1.58274146838,1.17346644402e-07,0.950889344769,279.125,-3.03302161487,-8.42570810742e-09,2.43224416987e-10,1.0,2228.0,0.0,2.0,0.0,-7.91624188423e-09,100.0
49,15,22  9 23  2  0  0.0,2.67853029072e-05,3.06954461848e-12,0.0,34.0,-99.53125,4.92520515456e-09,-1.44353793596,4.90620732307e-06,0.0146000676323,9.10647213459e-06,5153.62412834,439200.0,3.25962901115e-07,2.43804875781,1.91852450371e-07,0.931115900326,180.25,1.13591989053,-8.2103419937e-09,9.42896418278e-11,1.0,2228.0,0.0,2.0,0.0,-1.07102096081e-08,34.0
50,16,22  9 23  2  0  0.0,0.000524818431586,9.09494701773e-13,0.0,91.0,-19.375,4.91056168746e-09,0.451846776066,8.00937414169e-07,0.0127852532314,5.09060919285e-06,5153.70757866,439200.0,-4.47034835815e-08,-1.52946992534,1.210719347e-07,0.96733420293,283.5625,0.733154571928,-8.44392315186e-09,4.06088343781e-10,1.0,2228.0,0.0,2.0,0.0,-1.02445483208e-08,91.0
51,17,22  9 23  2  0  0.0,0.000661851838231,3.75166564481e-12,0.0,99.0,20.90625,4.07445543171e-09,-0.451001829694,1.08778476715e-06,0.0137212608242,1.1183321476e-05,5153.6252079,439200.0,-1.49011611938e-07,-0.509256440369,2.79396772385e-08,0.97756969945,177.8125,-1.4798371628,-7.9617602107e-09,3.52157525917e-10,1.0,2228.0,0.0,2.0,0.0,-1.117587e-08,99.0
52,18,22  9 23  2  0  0.0,3.93600203097e-05,1.29602995003e-11,0.0,163.0,95.84375,4.18910306439e-09,-2.43693577705,4.92669641972e-06,0.00285346608143,7.0221722126e-06,5153.72290802,439200.0,-6.70552253723e-08,0.494477371916,-2.60770320892e-08,0.972610097023,250.375,3.07549649333,-7.98497546342e-09,3.02869758598e-10,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,419.0
53,19,22  9 23  2  0  0.0,0.000214317347854,5.00222085975e-12,0.0,50.0,26.78125,3.97266547746e-09,1.70066624438,1.32620334625e-06,0.00912475213408,1.0933727026e-05,5153.72669601,439200.0,1.80676579475e-07,-0.464565956385,-1.11758708954e-08,0.976513241456,172.84375,2.18150887454,-7.60674542291e-09,4.75734101949e-10,1.0,2228.0,0.0,2.0,0.0,-1.53668224812e-08,50.0
54,21,22  9 23  2  0  0.0,0.000159090850502,5.68434188608e-13,0.0,50.0,83.4375,4.45125684129e-09,-0.446381404823,4.42750751972e-06,0.0243595639477,7.43381679058e-06,5153.7000885,439200.0,-3.59490513802e-07,0.393078379784,-3.33413481712e-07,0.961062806249,243.8125,-0.892309926782,-8.37892044424e-09,3.3537111241e-10,1.0,2228.0,0.0,2.0,0.0,-1.02445483208e-08,50.0
55,22,22  9 23  2  0  0.0,0.000332731753588,6.8212102633e-12,0.0,74.0,-63.03125,4.29125017637e-09,-0.669746895224,3.19257378578e-06,0.0134465517476,1.09057873487e-05,5153.74921227,439200.0,-1.210719347e-07,2.65298768354,1.88127160072e-07,0.962134478592,175.96875,-1.84474185869,-8.08319384033e-09,6.78599694973e-11,1.0,2228.0,0.0,2.0,0.0,-7.91624188423e-09,74.0
56,23,22  9 23  2  0  0.0,3.36207449436e-07,4.54747350886e-13,0.0,219.0,-35.75,4.50768776329e-09,2.81287209679,1.79558992386e-06,0.00266586698126,2.03959643841e-06,5153.62138748,439200.0,3.72529029846e-09,1.49415938096,2.60770320892e-08,0.969939709768,343.25,3.01213661016,-8.30784605514e-09,8.39320675361e-11,1.0,2228.0,0.0,2.0,0.0,-8.38190317154e-09,731.0
57,24,22  9 23  2  0  0.0,0.000126027967781,1.34150468512e-11,0.0,41.0,33.5,5.12914222079e-09,-2.39173819592,1.45845115185e-06,0.0130434583407,9.2126429081e-06,5153.67403793,439200.0,2.01165676117e-07,-2.74852203605,-1.49011611938e-07,0.934530368678,185.71875,0.839256095208,-8.09748014969e-09,6.98957685822e-10,1.0,2228.0,0.0,2.0,0.0,2.79396772385e-09,41.0
58,25,22  9 23  2  0  0.0,0.000374920200557,3.97903932026e-12,0.0,84.0,-8.59375,5.11592738462e-09,2.05337659058,6.22123479843e-07,0.0105484572705,4.69386577606e-06,5153.60688591,439200.0,-1.32247805595e-07,-1.62738918396,-2.40281224251e-07,0.955065187373,285.875,1.00371510888,-8.28391648694e-09,1.67864135072e-10,1.0,2228.0,0.0,2.0,0.0,5.58793544769e-09,84.0
59,26,22  9 23  2  0  0.0,0.000229658558965,1.5916157281e-12,0.0,97.0,-8.53125,5.71023785433e-09,1.29837938045,2.23517417908e-07,0.00714969134424,4.18908894062e-06,5153.5555172,439200.0,6.89178705216e-08,-1.67850129314,1.08033418655e-07,0.935889112361,284.9375,0.375544902838,-8.7753655292e-09,2.45010205658e-10,1.0,2228.0,0.0,2.82842707634,0.0,6.98491930962e-09,97.0
60,27,22  9 23  2  0  0.0,0.000208341516554,4.66116034659e-12,0.0,34.0,2.75,4.19803200774e-09,-0.460142715317,1.02445483208e-07,0.0106039990205,1.04140490293e-05,5153.66471291,439200.0,4.842877388e-08,-0.573208130957,1.88127160072e-07,0.970962048124,183.96875,0.687193809843,-7.95283126734e-09,4.88948938114e-10,1.0,2228.0,0.0,2.0,0.0,1.39698386192e-09,34.0
61,28,22  9 23  2  0  0.0,0.000336307100952,2.95585778076e-12,0.0,10.0,-16.9375,4.98592196938e-09,-0.0254603658521,8.92207026482e-07,0.0164570639608,5.55254518986e-06,5153.65172386,439200.0,-1.43423676491e-07,-1.52607270625,-1.08033418655e-07,0.96652873779,279.21875,-1.26113860198,-8.54714173705e-09,2.90012080167e-10,1.0,2228.0,0.0,2.0,63.0,-1.11758708954e-08,10.0
62,30,22  9 23  2  0  0.0,0.000537104904652,2.27373675443e-13,0.0,34.0,46.1875,5.25807616284e-09,2.83476192287,2.47731804848e-06,0.00594321941026,8.43778252602e-06,5153.7065506,439200.0,-5.02914190292e-08,-2.65226849253,-6.51925802231e-08,0.93607316501,206.5625,-2.65527168633,-8.24284334751e-09,6.01096466652e-10,1.0,2228.0,0.0,2.0,0.0,3.72529029846e-09,34.0
63,31,22  9 23  2  0  0.0,0.000194314401597,1.36424205266e-12,0.0,63.0,42.75,4.76698427832e-09,2.40860962051,2.25566327572e-06,0.0105446715606,8.8382512331e-06,5153.58845711,439200.0,-2.71946191788e-07,-2.64311888499,-1.02445483208e-07,0.955092987205,207.125,0.429253043541,-7.99961893052e-09,5.85381526347e-10,1.0,2228.0,0.0,2.0,0.0,-1.35041773319e-08,63.0
